Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,er_vccio_0,12,12,R0,er_vccio_0,vccio
UBUMP,er_vss_0,75.64,12,R0,er_vss_0,vss
UBUMP,er_i2c_sda,139.28,12,R0,er_i2c_sda,er_i2c_sda
UBUMP,er_i2c_scl,202.92,12,R0,er_i2c_scl,er_i2c_scl
UBUMP,er_vdd1p8_0,266.56,12,R0,er_vdd1p8_0,vdd1p8
UBUMP,er_tap_tdi,330.2,12,R0,er_tap_tdi,er_tap_tdi
UBUMP,er_tap_tdo,393.84,12,R0,er_tap_tdo,er_tap_tdo
UBUMP,er_tap_tck,457.48,12,R0,er_tap_tck,er_tap_tck
UBUMP,er_vdd1p8_1,521.12,12,R0,er_vdd1p8_1,vdd1p8
UBUMP,er_vss_1,584.76,12,R0,er_vss_1,vss
UBUMP,er_vss_2,648.4,12,R0,er_vss_2,vss
UBUMP,er_vccio_1,712.04,12,R0,er_vccio_1,vccio
UBUMP,er_vccio_2,775.68,12,R0,er_vccio_2,vccio
UBUMP,er_vss_3,43.82,43.82,R0,er_vss_3,vss
UBUMP,er_vccio_3,107.46,43.82,R0,er_vccio_3,vccio
UBUMP,er_vss_4,171.1,43.82,R0,er_vss_4,vss
UBUMP,er_vdd1p8_2,234.74,43.82,R0,er_vdd1p8_2,vdd1p8
UBUMP,er_vss_5,298.38,43.82,R0,er_vss_5,vss
UBUMP,er_vss_6,362.02,43.82,R0,er_vss_6,vss
UBUMP,er_tap_rst,425.66,43.82,R0,er_tap_rst,er_tap_rst
UBUMP,er_tap_tms,489.3,43.82,R0,er_tap_tms,er_tap_tms
UBUMP,er_vss_7,552.94,43.82,R0,er_vss_7,vss
UBUMP,er_vss_8,616.58,43.82,R0,er_vss_8,vss
UBUMP,er_vss_9,680.22,43.82,R0,er_vss_9,vss
UBUMP,er_vss_10,743.86,43.82,R0,er_vss_10,vss
UBUMP,er_vss_11,807.5,43.82,R0,er_vss_11,vss
UBUMP,er_vss_12,12,75.64,R0,er_vss_12,vss
UBUMP,er_vss_13,75.64,75.64,R0,er_vss_13,vss
UBUMP,er_vss_14,139.28,75.64,R0,er_vss_14,vss
UBUMP,er_vss_15,202.92,75.64,R0,er_vss_15,vss
UBUMP,er_vss_16,266.56,75.64,R0,er_vss_16,vss
UBUMP,er_vss_17,330.2,75.64,R0,er_vss_17,vss
UBUMP,er_vddc_0,393.84,75.64,R0,er_vddc_0,vddc
UBUMP,er_vddc_1,457.48,75.64,R0,er_vddc_1,vddc
UBUMP,er_vss_18,521.12,75.64,R0,er_vss_18,vss
UBUMP,er_vdd1p8_3,584.76,75.64,R0,er_vdd1p8_3,vdd1p8
UBUMP,er_vccio_4,648.4,75.64,R0,er_vccio_4,vccio
UBUMP,er_vss_19,712.04,75.64,R0,er_vss_19,vss
UBUMP,er_vss_20,775.68,75.64,R0,er_vss_20,vss
UBUMP,er_vccio_5,43.82,107.46,R0,er_vccio_5,vccio
UBUMP,er_vccio_6,107.46,107.46,R0,er_vccio_6,vccio
UBUMP,er_vccio_7,171.1,107.46,R0,er_vccio_7,vccio
UBUMP,er_vccio_8,234.74,107.46,R0,er_vccio_8,vccio
UBUMP,er_vccio_9,298.38,107.46,R0,er_vccio_9,vccio
UBUMP,er_vccio_10,362.02,107.46,R0,er_vccio_10,vccio
UBUMP,er_vss_21,425.66,107.46,R0,er_vss_21,vss
UBUMP,er_vss_22,489.3,107.46,R0,er_vss_22,vss
UBUMP,er_vccio_11,552.94,107.46,R0,er_vccio_11,vccio
UBUMP,er_vddc_2,616.58,107.46,R0,er_vddc_2,vddc
UBUMP,er_vss_23,680.22,107.46,R0,er_vss_23,vss
UBUMP,er_vccio_12,743.86,107.46,R0,er_vccio_12,vccio
UBUMP,er_vss_24,807.5,107.46,R0,er_vss_24,vss
UBUMP,er_vccio_13,12,139.28,R0,er_vccio_13,vccio
UBUMP,er_vss_25,75.64,139.28,R0,er_vss_25,vss
UBUMP,er_vccio_14,139.28,139.28,R0,er_vccio_14,vccio
UBUMP,er_vccio_15,202.92,139.28,R0,er_vccio_15,vccio
UBUMP,er_vccio_16,266.56,139.28,R0,er_vccio_16,vccio
UBUMP,er_vccio_17,330.2,139.28,R0,er_vccio_17,vccio
UBUMP,er_vccio_18,393.84,139.28,R0,er_vccio_18,vccio
UBUMP,er_vccio_19,457.48,139.28,R0,er_vccio_19,vccio
UBUMP,er_vccio_20,521.12,139.28,R0,er_vccio_20,vccio
UBUMP,er_vss_26,584.76,139.28,R0,er_vss_26,vss
UBUMP,er_vss_27,648.4,139.28,R0,er_vss_27,vss
UBUMP,er_vccio_21,712.04,139.28,R0,er_vccio_21,vccio
UBUMP,er_vccio_22,775.68,139.28,R0,er_vccio_22,vccio
UBUMP,er_vss_28,43.82,171.1,R0,er_vss_28,vss
UBUMP,er_vss_29,107.46,171.1,R0,er_vss_29,vss
UBUMP,er_vss_30,171.1,171.1,R0,er_vss_30,vss
UBUMP,er_vss_31,234.74,171.1,R0,er_vss_31,vss
UBUMP,er_vss_32,298.38,171.1,R0,er_vss_32,vss
UBUMP,er_vss_33,362.02,171.1,R0,er_vss_33,vss
UBUMP,er_vss_34,425.66,171.1,R0,er_vss_34,vss
UBUMP,er_vss_35,489.3,171.1,R0,er_vss_35,vss
UBUMP,er_vddc_3,552.94,171.1,R0,er_vddc_3,vddc
UBUMP,er_vss_36,616.58,171.1,R0,er_vss_36,vss
UBUMP,er_vccio_23,680.22,171.1,R0,er_vccio_23,vccio
UBUMP,er_vss_37,743.86,171.1,R0,er_vss_37,vss
UBUMP,er_vss_38,807.5,171.1,R0,er_vss_38,vss
UBUMP,er_vss_39,12,202.92,R0,er_vss_39,vss
UBUMP,er_vss_40,75.64,202.92,R0,er_vss_40,vss
UBUMP,er_vss_41,139.28,202.92,R0,er_vss_41,vss
UBUMP,er_vss_42,202.92,202.92,R0,er_vss_42,vss
UBUMP,er_vss_43,266.56,202.92,R0,er_vss_43,vss
UBUMP,er_vss_44,330.2,202.92,R0,er_vss_44,vss
